,index,genre,title,url,artist,weekly_views,all_views,artist_url
85,6,Drum & Bass,Delta Heavy - White Flag,https://soundcloud.com/deltaheavyuk/delta-heavy-white-flag,DELTΔ HEΔVY,1054.0,2362265.0,https://soundcloud.com/deltaheavyuk
86,7,Drum & Bass,VISION Radio S01E15,https://soundcloud.com/visionrecordings/vision-radio-s01e15,VISION,944.0,9984.0,https://soundcloud.com/visionrecordings
87,8,Drum & Bass,Gorillaz - feel good inc (drum and bass remix),https://soundcloud.com/photon-snake/gorillaz-feel-good-inc-drum-and-bass-remix,Photon snake,896.0,4594187.0,https://soundcloud.com/photon-snake
88,9,Drum & Bass,Rohaan - Purity,https://soundcloud.com/rohaanofficial/rohaan-purity,Rohaan,859.0,6936.0,https://soundcloud.com/rohaanofficial
89,10,Drum & Bass,Macky Gee - Tour,https://soundcloud.com/elevaterecordsuk/macky-gee-tour,Elevate Records,846.0,7244448.0,https://soundcloud.com/elevaterecordsuk
90,1,Dubstep,Skrillex & Rick Ross - Purple Lamborghini,https://soundcloud.com/skrillex/skrillex-rick-ross-purple-lamborghini,Skrillex,7512.0,43176290.0,https://soundcloud.com/skrillex
91,2,Dubstep,Flight Facilities - Crave You (Adventure Club Dubstep Remix),https://soundcloud.com/adventureclub/flight-facilities-crave-you,Adventure Club,6754.0,37258909.0,https://soundcloud.com/adventureclub
92,3,Dubstep,Liquid Stranger - The Drill,https://soundcloud.com/wakaan/liquid-stranger-the-drill,Wakaan,6201.0,36685.0,https://soundcloud.com/wakaan
93,4,Dubstep,GRiZ X Ganja White Night - Ease Your Mind,https://soundcloud.com/griz/x-ganja-white-night-ease-your-mind,GRiZ,6159.0,123619.0,https://soundcloud.com/griz
94,5,Dubstep,Excision - Lost Lands 2019 Mix,https://soundcloud.com/excision/lost-lands-2019-mix,Excision,5944.0,1448669.0,https://soundcloud.com/excision
95,6,Dubstep,Blue Foundation - Eyes On Fire (Zeds Dead Remix),https://soundcloud.com/zedsdead/blue-foundation-eyes-on-fire-zeds-dead-remix,Zeds Dead,5661.0,13621126.0,https://soundcloud.com/zedsdead
96,7,Dubstep,Skrillex & Damian 'Jr Gong' Marley - Make It Bun Dem,https://soundcloud.com/skrillex/skrillex-damian-jr-gong-marley,Skrillex,5417.0,30384615.0,https://soundcloud.com/skrillex
97,8,Dubstep,NOW THATS WHAT I CALL RIDDIM VOLUME 5,https://soundcloud.com/subtronics/now-thats-what-i-call-riddim-volume-5,Subtronics,5285.0,2117700.0,https://soundcloud.com/subtronics
98,9,Dubstep,Skrillex - Bangarang feat Sirah,https://soundcloud.com/skrillex/skrillex-bangarang-feat-sirah,Skrillex,5235.0,37218724.0,https://soundcloud.com/skrillex
99,10,Dubstep,SPACE LACES - Vaultage 003,https://soundcloud.com/space-laces/vaultage-003,SPACE LACES,4826.0,210729.0,https://soundcloud.com/space-laces
100,1,Electronic,she likes another boy,https://soundcloud.com/oscarlangmusic/she-likes-another-boy,oscar lang,36915.0,811748.0,https://soundcloud.com/oscarlangmusic
101,2,Electronic,Swing Lynn,https://soundcloud.com/yosoyharmless/untitled-1,Harmless,36301.0,4566077.0,https://soundcloud.com/yosoyharmless
102,3,Electronic,Aaron Smith - Dancin (Remix by KRONO),https://soundcloud.com/kronopage/aaron-smith-dancin-remix-by,KRONO,34212.0,58718032.0,https://soundcloud.com/kronopage
103,4,Electronic,ark patrol - let go (slowed + reverb) instrumental loop,https://soundcloud.com/astral-268426403/ark-patrol-let-go-slowed-reverb-instrumental-loop,shiloh,32217.0,6643935.0,https://soundcloud.com/astral-268426403
104,5,Electronic,Zavodila - Friday Night Funkin': Mid-Fight Masses OST,https://soundcloud.com/user-803738864/zavodila-friday-night-funkin-mid-fight-masses-ost,∞The Electro-Warper∞ (Mike Geno),29331.0,477587.0,https://soundcloud.com/user-803738864
105,6,Electronic,Electric Love,https://soundcloud.com/bornsmusic/borns-electric-love-preview,BØRNS,27505.0,11250736.0,https://soundcloud.com/bornsmusic
106,7,Electronic,moment (Spotify link in description),https://soundcloud.com/vierrecloud/moment-rondocheek-x-vierrecloud,vierre cloud,27355.0,3373253.0,https://soundcloud.com/vierrecloud
107,8,Electronic,Runaway,https://soundcloud.com/auroraaksnes/runaway-3,AURORA,26255.0,497564.0,https://soundcloud.com/auroraaksnes
108,9,Electronic,Mr.Kitty - After Dark,https://soundcloud.com/hottknoff/mrkitty-after-dark,ᵏ4⁴,25398.0,5802969.0,https://soundcloud.com/hottknoff
109,10,Electronic,In my Head (Single),https://soundcloud.com/noahkittinger/in-my-head,BEDROOM,25027.0,1386387.0,https://soundcloud.com/noahkittinger
110,1,Folk & Singer-Songwriter,Remember That Night?,https://soundcloud.com/sarakays/remember-that-night,Sara Kays,48098.0,4155139.0,https://soundcloud.com/sarakays
111,2,Folk & Singer-Songwriter,Be Alright,https://soundcloud.com/deanlewisofficial/be-alright,Dean Lewis,39004.0,27253029.0,https://soundcloud.com/deanlewisofficial
112,3,Folk & Singer-Songwriter,Surrender,https://soundcloud.com/natalietaylor/surrender,NatalieTaylor,17187.0,1817058.0,https://soundcloud.com/natalietaylor
113,4,Folk & Singer-Songwriter,Waves,https://soundcloud.com/deanlewisofficial/waves,Dean Lewis,16472.0,5737770.0,https://soundcloud.com/deanlewisofficial
114,5,Folk & Singer-Songwriter,Home,https://soundcloud.com/edithwhiskers/home,Edith Whiskers,15834.0,1207413.0,https://soundcloud.com/edithwhiskers
115,6,Folk & Singer-Songwriter,CHICKEN TENDIES,https://soundcloud.com/clintonkane/chicken-tendies,Clinton Kane,11265.0,468726.0,https://soundcloud.com/clintonkane
116,7,Folk & Singer-Songwriter,Leave a Light On,https://soundcloud.com/iamtomwalker/leave-a-light-on-1,Tom Walker,11037.0,4315650.0,https://soundcloud.com/iamtomwalker
117,8,Folk & Singer-Songwriter,Tom Rosenthal - Home (Edward Sharpe & The Magnetic Zeros cover),https://soundcloud.com/adrian-bliss-2/tom-rosenthal-home-cover,Adrian Bliss,8487.0,2959208.0,https://soundcloud.com/adrian-bliss-2
118,9,Folk & Singer-Songwriter,Welcome to Wonderland,https://soundcloud.com/ansonseabra/welcome-to-wonderland,Anson Seabra,7348.0,3270087.0,https://soundcloud.com/ansonseabra
119,10,Folk & Singer-Songwriter,Heading South,https://soundcloud.com/achane/heading-south,Zach Bryan,6326.0,301466.0,https://soundcloud.com/achane
120,1,Hip-hop & Rap,Polo G - RAPSTAR,https://soundcloud.com/polo-g/polo-g-rapstar,POLO G,3029178.0,11376398.0,https://soundcloud.com/polo-g
121,2,Hip-hop & Rap,Tombstone,https://soundcloud.com/rodwave/tombstone,Rod Wave,868751.0,9496185.0,https://soundcloud.com/rodwave
122,3,Hip-hop & Rap,Headshot,https://soundcloud.com/liltjay/headshot,Lil Tjay,739230.0,6480149.0,https://soundcloud.com/liltjay
123,4,Hip-hop & Rap,JETSKI (feat. Lil Tecca & Lil Mosey),https://soundcloud.com/internetmoneyrecords/jetski-feat-lil-tecca-lil-mosey,Internet Money Records,717351.0,3929328.0,https://soundcloud.com/internetmoneyrecords
